Brand,Disc_name,Speed,Glide,Turn,Fade
obsidian discs,shard,7.0,5.0,-1.5,1.0
obsidian discs,splinter,3.0,2.0,0.0,3.5
ozone discs,andro c,6.0,4.0,-2.0,1.0
ozone discs,hyperion,11.0,4.0,0.0,4.0
plastic addicts,habit,3.0,5.0,-1.0,0.0
plastic addicts,intervention,12.0,5.0,-1.0,4.0
prodigy,a1,3.0,3.0,0.0,3.0
prodigy,a2,4.0,4.0,0.0,3.0
prodigy,a3,4.0,4.0,0.0,2.5
prodigy,a4,4.0,4.0,-1.0,2.0
prodigy,d1,12.0,5.0,0.0,3.0
prodigy,d2,12.0,6.0,-1.0,3.0
prodigy,d3,12.0,6.0,-2.0,2.0
prodigy,d4,12.0,6.0,-3.0,2.0
prodigy,d5,12.0,6.0,-4.0,2.0
prodigy,d6,12.0,6.0,-4.0,1.0
prodigy,f1,7.0,4.0,0.0,3.0
prodigy,f2,7.0,5.0,-1.0,3.0
prodigy,f3,7.0,5.0,-1.0,2.0
prodigy,f5,7.0,5.0,-2.0,1.0
prodigy,F7,7.0,5.0,-3.0,1.0
prodigy,h1v2,10.0,4.0,0.0,3.0
prodigy,h2v2,10.0,5.0,0.0,2.5
prodigy,h3v2,10.0,5.0,-1.0,2.0
prodigy,h4v2,10.0,5.0,-2.0,1.5
prodigy,h5,9.0,5.0,-3.0,1.0
prodigy,m2,5.0,4.0,0.0,2.0
prodigy,m3,5.0,5.0,-1.0,2.0
prodigy,M4,5.0,5.0,-1.0,1.0
prodigy,m5,5.0,5.0,-3.0,1.0
prodigy,m1,5.0,4.0,0.0,3.0
prodigy,PA1,3.0,3.0,0.0,2.0
prodigy,PA2,3.0,3.0,0.0,1.0
prodigy,PA3,3.0,4.0,0.0,1.0
prodigy,PA4,3.0,3.0,-1.0,1.0
prodigy,x2,13.0,4.0,0.0,4.0
prodigy,x3,12.0,5.0,-1.0,2.0
prodigy,x4,13.0,5.0,-2.5,2.0
prodigy,x5,13.0,5.0,-4.0,1.0
prodiscus,fasti,13.0,4.0,-2.0,3.0
prodiscus,jokeri,4.0,3.0,0.0,2.0
prodiscus,laseri,7.0,3.0,-3.0,2.0
prodiscus,legenda,13.0,5.0,-1.0,2.0
prodiscus,midari,5.0,4.0,-1.0,2.0
prodiscus,razeri,12.0,5.0,0.0,3.0
prodiscus,respecti,8.0,4.0,0.0,2.0
prodiscus,rocket,9.0,4.0,0.0,3.0
prodiscus,slaidi,12.0,5.0,0.0,3.0
prodiscus,sparta,3.0,3.0,0.0,0.5
prodiscus,titan,10.0,4.0,0.0,3.0
reptilian disc golf,gila,5.0,4.0,0.0,3.0
reptilian disc golf,scale,2.0,1.0,0.0,3.0
reptilian disc golf,serpent,2.0,2.0,0.0,0.0
reptilian disc golf,stego,3.0,1.0,1.0,4.0
reptilian disc golf,tyrant,7.0,3.0,0.0,2.5
RPM,kahu,13.0,5.0,-1.5,3.0
RPM,kea,10.0,5.0,-2.0,2.0
RPM,kiwi,10.0,5.0,-1.0,2.0
RPM,ruru,3.0,3.0,0.0,1.0
RPM,temoko,3.0,4.0,0.0,0.0
RPM,tui,3.0,4.0,-1.0,0.0
skyquest discs,chainzilla,2.0,3.0,-1.0,1.0
skyquest discs,l13,10.0,5.0,-3.0,2.0
skyquest discs,medusa,11.0,5.0,-2.0,2.0
storm disc golf,jet stream,12.0,5.0,-1.0,3.0
storm disc golf,the crater,3.0,2.0,0.0,3.0
storm disc golf,the eye,5.0,5.0,-1.0,1.0
streamline,drift,7.0,5.0,-2.0,1.0
streamline,pilot,2.0,5.0,-1.0,1.0
streamline,runway,5.0,4.0,0.0,3.5
streamline,trace,11.0,5.0,-1.0,2.0
tobu discs,charge,9.0,4.0,-1.0,2.0
tobu discs,power roller,8.0,4.0,-3.0,1.0
viking discs,axe,4.0,3.0,0.0,1.0
viking discs,barbarian,7.0,5.0,0.0,2.0
viking discs,berserker,10.0,5.0,-4.0,1.0
viking discs,cosmos,7.0,5.0,-2.0,1.0
viking discs,knife,2.0,3.0,0.0,2.0
viking discs,loki,4.0,2.0,0.0,4.0
viking discs,nordic warrior,4.0,4.0,0.0,2.0
viking discs,ragnarok,11.0,5.0,-2.0,1.0
