brand,disc_name,speed,glide,turn,fade
lightning discs,#1 roller,7,3,-2,1
lightning discs,#1 slice,7,4,-3,2
lightning discs,#2 driver,8,5,-2,2
lightning discs,#2 hyzer,5,5,1,4
lightning discs,#2 slice,6,5,-3,1
lightning discs,maxline -- 1,9,4,-2,3
millennium,exp,7,3,1,4
millennium,omega supersoft putter big bead,2,3,-1,1
ozone discs,andro 1,6,4,-2,1
prodigy,h1,10,3,0,3.5
prodigy,h2,9,5,0,2
prodigy,h3,9,4,0,2
prodigy,x1,13,3,0,5
prodiscus,stari,5,4,-2,1
rip disc golf,ballistic,13,4,-2,3
rip disc golf,graboide,2,1,0,3
rip disc golf,relic,2,2,-2,2
salient discs,antidote,5,6,-0.5,0.5
salient discs,backdraft,12,5,-1,2
salient discs,prometheus,14,4,-1,1
salient discs,touch,2,3,0,1
salient discs,vein,8,4,0,2
skyiron,flagship,11,4,-3,2
ub disc golf - hand candy,procul,12,4,-3,2
ub disc golf - hand candy,monstrum,11,5,0,3
vibram disc golf,arch,8,5,0,2
vibram disc golf,ascent,8,4,0,3
vibram disc golf,crag,4,3.5,0,3.5
vibram disc golf,ibex,5,4,-1,1
vibram disc golf,lace,14,6,-1,1
vibram disc golf,launch,5,5,-1,2
vibram disc golf,notch,7,3,0,4
vibram disc golf,obex,5,4,0,3
vibram disc golf,o-lace,13,5,-1,3
vibram disc golf,onyx,8,6,-3,1
vibram disc golf,ridge,2,3,0,1
vibram disc golf,trak,7,4,-1,2
vibram disc golf,solace,13,4,0,4
vibram disc golf,sole,2,3,0,2
vibram disc golf,summit,2,3,-1,0
vibram disc golf,unlace,14,6,-5,1
vibram disc golf,valley,7,5,-1,1
vibram disc golf,vamp,7,5,-2,1
vibram disc golf,v.p.,2,3,0,2
axiom,theory,4,4,-1.5,1
axiom,alias,4,4,-1,1
axiom,clash,6.5,4,-1,2
axiom,crave,6.5,5,-1,1
axiom,defy,11,5,-1,3
axiom,Envy,3,3,0,2
axiom,excite,14.5,5.5,-2,2
axiom,fireball,9,3.5,-0.5,4
axiom,insanity,9,5,-2,1.5
axiom,inspire,6.5,5,-1.5,1
axiom,mayhem,13,5,-1.5,2
axiom,panic,13,4,-0.5,3
axiom,proxy,3,3,0,0.5
axiom,tantrum,14.5,5,-1.5,3
axiom,tenacity,13,5,-2.5,2
axiom,thrill,11,4,-1,3
axiom,vanish,11,5,-3,2
axiom,virus,9,5,-3.5,1
axiom,wrath,9,4.5,-0.5,2
latitude 64,keystone,2,5,-1,1
kastaplast,gote,4,5,0,1
discraft,stalker,7,5,-1,2
discraft,zeus,12,5,-1,3
innova,firefly,2,3,0,1
discraft,fierce,3,4,-2,0
 Thought Space Athletics,Mantra,9,5,-2,1
DGA,Breaker,4,3,0,3
DGA,Hellfire,10,3,0,5
discraft,Raptor,9,4,0,3
prodigy,P Model S,3,5,0,2
prodigy,D Model S,13,6,0,2
prodigy,F Model S,10,5,-1,3
prodigy,M Model S,6,4,-1,3
innova,Aviar Driver,2,3,0,2
innova,JK Aviar,2,3,0,2
innova,Super Stingray,4,5,-1,1
innova,Aviar-X,2,3,0,2
discraft,rattler,2,2,-2,1
discmania,Sun Bird,7,5,-4,1
discmania,Tiger Warrior,3,3,0,1
prodigy,fx-2,9,5,0,3
Westside,Gatekeeper,4,5,0,2
Discraft,Sol,4,5,-3,0
Kastaplast,Lots,9,5,-1,2
